 55Del Gem, 54Lam Gem
   Gam Gru,   Lam Gru
   Lam Gru,   Mu 1Gru
   Mu 1Gru,   Del1Gru
   Del1Gru,   Bet Gru
   Bet Gru,   Eps Gru
   Eps Gru,   Kap Gru
   Alp Gru,   Bet Gru
   Bet Gru,   Iot Gru
   Iot Gru,   The Gru
 11Phi Her, 35Sig Her
 35Sig Her, 44Eta Her
 44Eta Her, 40Zet Her
 40Zet Her, 27Bet Her
 27Bet Her, 20Gam Her
 27Bet Her, 64Alp1Her
 85Iot Her, 91The Her
 91The Her, 75Rho Her
 75Rho Her, 67Pi  Her
 67Pi  Her, 44Eta Her
 67Pi  Her, 58Eps Her
 58Eps Her, 40Zet Her
 58Eps Her, 65Del Her
 65Del Her, 76Lam Her
 76Lam Her, 86Mu  Her
 86Mu  Her, 92Xi  Her
 92Xi  Her,103Omi Her
103Omi Her, 94Nu  Her
103Omi Her,109    Her
109    Her,102    Her
109    Her,110    Her
110    Her,111    Her
   Alp Hor,   Eta Hor
   Eta Hor,   Eta Hor
   Eta Hor,   Zet Hor
   Zet Hor,   Mu  Hor
   Mu  Hor,   Bet Hor
 49Pi  Hya, 46Gam Hya
 46Gam Hya,   Bet Hya
   Bet Hya,   Xi  Hya
   Xi  Hya,   Nu  Hya
   Nu  Hya, 42Mu  Hya
 42Mu  Hya, 41Lam Hya
 41Lam Hya, 40Ups2Hya
 40Ups2Hya, 39Ups1Hya
 39Ups1Hya, 29    Hya
 29    Hya, 35Iot Hya
 35Iot Hya, 22The Hya
 22The Hya, 16Zet Hya
 16Zet Hya,  7Eta Hya
  7Eta Hya,  5Sig Hya
  5Sig Hya,  4Del Hya
  4Del Hya, 11Eps Hya
 11Eps Hya, 16Zet Hya
   Gam Hyi,   Bet Hyi
   Bet Hyi,   Eps Hyi
   Eps Hyi,   Del Hyi
   Del Hyi,   Eta2Hyi
   Eta2Hyi,   Alp Hyi
   Alp Ind,   The Ind
   The Ind,   Pi  Ind
   The Ind,   Bet Ind
  1    Lac,  6    Lac
  6    Lac,  5    Lac
  5    Lac,  4    Lac
  4    Lac,  3Bet Lac
  3Bet Lac,  7Alp Lac
  7Alp Lac,  5    Lac
  1Kap Leo,  4Lam Leo
  4Lam Leo, 17Eps Leo
 17Eps Leo, 24Mu  Leo
 24Mu  Leo, 36Zet Leo
 36Zet Leo, 41Gam1Leo
 41Gam1Leo, 30Eta Leo
 30Eta Leo, 32Alp Leo
 32Alp Leo, 14Omi Leo
 32Alp Leo, 70The Leo
 70The Leo, 94Bet Leo
 94Bet Leo, 68Del Leo
 68Del Leo, 41Gam1Leo
 70The Leo, 78Iot Leo
 78Iot Leo, 77Sig Leo
 46    LMi, 31Bet LMi
 31Bet LMi, 21    LMi
  4Kap Lep,  6Lam Lep
  6Lam Lep,  6Lam Lep
  6Lam Lep,  5Mu  Lep
  5Mu  Lep, 10    Lep
 10    Lep, 14Zet Lep
 14Zet Lep, 14Zet Lep
 14Zet Lep, 16Eta Lep
 10    Lep,  9Bet Lep
 15Del Lep, 13Gam Lep
 13Gam Lep,  9Bet Lep
  9Bet Lep,  9Bet Lep
  9Bet Lep,  2Eps Lep
 48    Lib, 46The Lib
 46The Lib, 44Eta Lib
 44Eta Lib, 35Zet4Lib
 35Zet4Lib, 27Bet Lib
 27Bet Lib,  9Alp2Lib
  9Alp2Lib, 20Sig Lib
 20Sig Lib, 39Ups Lib
 39Ups Lib, 40Tau Lib
 20Sig Lib, 27Bet Lib
   The Lup,   Eta Lup
   Eta Lup,   Gam Lup
   Gam Lup,   Eps Lup
   Eps Lup,   Kap1Lup
   Kap1Lup,   Zet Lup
   Zet Lup,   Alp Lup
   Alp Lup,   Bet Lup
   Bet Lup,   Del Lup
   Del Lup,   Phi1Lup
   Phi1Lup,  5Chi Lup
   Gam Lup,   Del Lup
 40Alp Lyn, 38    Lyn
 38    Lyn, 35    Lyn
 35    Lyn, 31    Lyn
 31    Lyn, 21    Lyn
 21    Lyn, 15    Lyn
 15    Lyn,  2    Lyn
 13    Lyr, 20Eta Lyr
 20Eta Lyr, 21The Lyr
 21The Lyr,  3Alp Lyr
  3Alp Lyr,  4Eps1Lyr
  3Alp Lyr,  6Zet1Lyr
  6Zet1Lyr, 10Bet Lyr
 10Bet Lyr, 14Gam Lyr
 14Gam Lyr, 11Del1Lyr
 11Del1Lyr,  6Zet1Lyr
  3Alp Lyr,  1Kap Lyr
   Alp Men,   Gam Men
   Gam Men,   Eta Men
   Eta Men,   Bet Men
   The2Mic,   Eps Mic
   Eps Mic,   Gam Mic
   Gam Mic,   Bet Mic
 29Zet Mon, 26Alp Mon
 26Alp Mon, 21    Mon
 21    Mon, 11Bet Mon
 11Bet Mon,  5Gam Mon
  5Gam Mon,  8Eps Mon
  8Eps Mon, 13    Mon
   Del Mus,   Alp Mus
   Alp Mus,   Gam Mus
   Bet Mus,   Alp Mus
   Alp Mus,   Zet1Mus
   Zet1Mus,   Mu  Mus
   Eps Nor,   Gam1Nor
   Gam1Nor,   Gam2Nor
   Gam2Nor,   Eta Nor
   Del Oct,   Nu  Oct
   Nu  Oct,   Eps Oct
   Eps Oct,   Bet Oct
   Bet Oct,   Del Oct
 44    Oph, 35Eta Oph
 35Eta Oph, 13Zet Oph
 13Zet Oph,  8Phi Oph
 13Zet Oph,  2Eps Oph
  2Eps Oph,  2Eps Oph
  2Eps Oph, 10Lam Oph
 10Lam Oph, 27Kap Oph
 27Kap Oph, 25Iot Oph
 27Kap Oph, 55Alp Oph
 55Alp Oph, 72    Oph
 72    Oph, 70    Oph
 70    Oph, 64Nu  Oph
 70    Oph, 67    Oph
 67    Oph, 62Gam Oph
 62Gam Oph, 60Bet Oph
 60Bet Oph, 49Sig Oph
 62Chi2Ori, 70Xi  Ori
 70Xi  Ori, 61Mu  Ori
 61Mu  Ori, 58Alp Ori
 58Alp Ori, 48Sig Ori
 48Sig Ori, 53Kap Ori
 53Kap Ori, 19Bet Ori
 19Bet Ori, 34Del Ori
 34Del Ori, 24Gam Ori
 24Gam Ori, 39Lam Ori
 39Lam Ori, 58Alp Ori
 24Gam Ori,  1Pi 3Ori
  1Pi 3Ori,  3Pi 4Ori
  3Pi 4Ori,  8Pi 5Ori
  8Pi 5Ori, 10Pi 6Ori
  1Pi 3Ori,  2Pi 2Ori
  2Pi 2Ori,  7Pi 1Ori
   Alp Pav,   Bet Pav
   Bet Pav,   Bet Pav
   Bet Pav,   Eps Pav
   Eps Pav,   Zet Pav
   Zet Pav,   Eta Pav
   Eta Pav,   Pi  Pav
   Pi  Pav,   Xi  Pav
   Xi  Pav,   Lam Pav
   Lam Pav,   Del Pav
   Del Pav,   Bet Pav
   Bet Pav,   Gam Pav
  8Eps Peg, 26The Peg
 26The Peg, 42Zet Peg
 42Zet Peg, 46Xi  Peg
 46Xi  Peg, 54Alp Peg
 54Alp Peg, 88Gam Peg
 88Gam Peg, 21Alp And
 21Alp And, 53Bet Peg
 53Bet Peg, 54Alp Peg
 10Kap Peg, 24Iot Peg
 24Iot Peg, 44Eta Peg
 44Eta Peg, 53Bet Peg
 53Bet Peg, 48Mu  Peg
 48Mu  Peg, 47Lam Peg
 47Lam Peg,  9    Peg
 47Lam Per, 51Mu  Per
 51Mu  Per, 48    Per
 48    Per, 39Del Per
 39Del Per, 37Psi Per
 37Psi Per, 33Alp Per
 33Alp Per, 23Gam Per
 23Gam Per, 15Eta Per
 39Del Per, 41Nu  Per
 41Nu  Per, 45Eps Per
 45Eps Per, 46Xi  Per
 46Xi  Per, 44Zet Per
 44Zet Per, 38Omi Per
 33Alp Per,   Iot Per
   Iot Per, 13The Per
   Iot Per, 27Kap Per
 27Kap Per, 26Bet Per
 26Bet Per, 25Rho Per
 25Rho Per, 22Pi  Per
   Del Phe,   Gam Phe
   Gam Phe,   Nu  Phe
   Nu  Phe,   Bet Phe
   Bet Phe,   Kap Phe
   Kap Phe,   Eps Phe
   Eps Phe,   Iot Phe
   Iot Phe,   The Phe
   The Phe,   Pi  Phe
   Bet Phe,   Zet Phe
   Zet Phe,   Eta Phe
   Eta Phe,   Eps Phe
   Alp Pic,   Gam Pic
   Gam Pic,   Bet Pic
 83Tau Psc, 90Ups Psc
 90Ups Psc, 85Phi Psc
 85Phi Psc, 99Eta Psc
 99Eta Psc,110Omi Psc
110Omi Psc,113Alp Psc
113Alp Psc,106Nu  Psc
106Nu  Psc, 98Mu  Psc
 98Mu  Psc, 71Eps Psc
 71Eps Psc, 63Del Psc
 28Ome Psc, 17Iot Psc
 17Iot Psc, 10The Psc
 10The Psc,  6Gam Psc
  6Gam Psc,  8Kap Psc
  8Kap Psc, 18Lam Psc
 18Lam Psc, 17Iot Psc
 24Alp PsA, 18Eps PsA
 18Eps PsA, 16Lam PsA
 16Lam PsA, 10The PsA
 10The PsA,  9Iot PsA
  9Iot PsA,   Ups PsA
   Ups PsA, 17Bet PsA
 17Bet PsA, 23Del PsA
 23Del PsA, 23Del PsA
 23Del PsA, 24Alp PsA
 16    Pup, 12    Pup
 12    Pup,   Omi Pup
   Omi Pup,  3    Pup
  3    Pup,  1    Pup
